author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Level Group;https://www.cian.ru/sale/flat/285874759/;Москва;sale;flat;-1;-1;-1;202.0;9880041;Нагатино-Садовники;1-й Нагатина кв-л;Нагатинская;Левел Нагатинская ЖК
PROНЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/287801161/;Москва;sale;flat;6;7;-1;30.0;6150000;Лефортово;Золоторожский Вал;Авиамоторная;
Forma;https://www.cian.ru/sale/flat/288197439/;Москва;sale;flat;-1;-1;-1;202.0;12293015;Печатники;Южнопортовая;Печатники;Portland
ID 103495581;https://www.cian.ru/sale/flat/287902536/;Москва;sale;flat;3;8;-1;24.3;7000757;Преображенское;Электрозаводская;Электрозаводская;
MR Group;https://www.cian.ru/sale/flat/288221103/;Москва;sale;flat;2;36;1;26.09;13217682;Савеловский;;Дмитровская;Симфония 34 ЖК
Whitewill Москва-Сити;https://www.cian.ru/sale/flat/283068029/;Москва;sale;flat;77;97;-1;50.0;42000000;Пресненский;набережная Пресненская;Деловой центр;Башня Федерация
Level Group;https://www.cian.ru/sale/flat/288131022/;Москва;sale;flat;-1;-1;-1;202.0;7733580;Печатники;;Кожуховская;Левел Южнопортовая ЖК
ID 103495581;https://www.cian.ru/sale/flat/287902230/;Москва;sale;flat;5;8;-1;15.4;5602316;Преображенское;Электрозаводская;Электрозаводская;
РГ-Девелопмент;https://www.cian.ru/sale/flat/284832154/;Москва;sale;flat;18;20;1;27.9;9151200;Головинский;Михалковская;Коптево;Михалковский
Whitewill Москва-Сити;https://www.cian.ru/sale/flat/287267349/;Москва;sale;flat;30;85;-1;11.0;10850000;Пресненский;1-й Красногвардейский проезд;Международная;МФК ОКО
Центр-Инвест;https://www.cian.ru/sale/flat/288008061/;Москва;sale;flat;3;35;1;23.0;9292475;Левобережный;Фестивальная;Речной вокзал;Фестиваль парк-2
Место;https://www.cian.ru/sale/flat/283863917/;Москва;sale;flat;5;33;1;22.1;13900000;Хорошево-Мневники;Причальный проезд;Шелепиха;Level Причальный
ФСК;https://www.cian.ru/sale/flat/282913358/;Москва;sale;flat;-1;-1;-1;202.0;10880951;Покровское-Стрешнево;Строительный проезд;Тушинская;Sky Garden
Метры;https://www.cian.ru/sale/flat/287282965/;Москва;sale;flat;2;5;1;20.0;13200000;Мещанский;проспект Мира;Сухаревская;
